,Initialization,lambda,Repeat,Num Obs,Obs Dim,centroids_prior_cov_prefactor,likelihood_cov_prefactor,Num True Clusters,Runtime,Num Iter Till Convergence,Num Initial Clusters,Num Inferred Clusters,Loss,Rand Score,Adjusted Rand Score,Adjusted Mutual Info Score,Normalized Mutual Info Score
295,dp-means,0.001995262314968879,7,1000,13,10.0,1.0,10,0.4284771606326103,2,1000,1000,7798.884649225055,0.9006306306306306,0.0,1.3267195727669599e-12,0.49978069400244957
296,dp-means,0.003981071705534973,7,1000,13,10.0,1.0,10,0.425341771915555,2,1000,1000,7798.884649225055,0.9006306306306306,0.0,1.3267195727669599e-12,0.49978069400244957
297,dp-means,0.007943282347242814,7,1000,13,10.0,1.0,10,0.42603034526109695,2,1000,1000,7798.884649225055,0.9006306306306306,0.0,1.3267195727669599e-12,0.49978069400244957
298,dp-means,0.015848931924611134,7,1000,13,10.0,1.0,10,0.42634200118482113,2,1000,1000,7798.884649225055,0.9006306306306306,0.0,1.3267195727669599e-12,0.49978069400244957
299,dp-means,0.03162277660168379,7,1000,13,10.0,1.0,10,0.389490881934762,2,1000,1000,7798.884649225055,0.9006306306306306,0.0,1.3267195727669599e-12,0.49978069400244957
300,dp-means,0.0630957344480193,7,1000,13,10.0,1.0,10,0.39266289211809635,2,1000,1000,7798.884649225055,0.9006306306306306,0.0,1.3267195727669599e-12,0.49978069400244957
301,dp-means,0.12589254117941676,7,1000,13,10.0,1.0,10,0.3915999699383974,2,1000,1000,7798.884649225055,0.9006306306306306,0.0,1.3267195727669599e-12,0.49978069400244957
302,dp-means,0.25118864315095796,7,1000,13,10.0,1.0,10,0.39175819605588913,2,1000,1000,7798.884649225055,0.9006306306306306,0.0,1.3267195727669599e-12,0.49978069400244957
303,dp-means,0.501187233627272,7,1000,13,10.0,1.0,10,0.39249619096517563,2,1000,1000,7798.884649225055,0.9006306306306306,0.0,1.3267195727669599e-12,0.49978069400244957
304,dp-means,1.0,7,1000,13,10.0,1.0,10,0.3896852359175682,2,1000,1000,7798.884649225055,0.9006306306306306,0.0,1.3267195727669599e-12,0.49978069400244957
